2025-10-06 10:01:17.693 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.c.MyAppPropertiesV2 - --getFeatureEnabled()
2025-10-06 10:01:17.693 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.MonAdaptateurImpl - features NOT actived !
2025-10-06 10:01:17.694 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.c.MyAppPropertiesV2 - ++getPostalCodeServiceEndpoint()
2025-10-06 10:01:17.694 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.c.MyAppPropertiesV2 - --getPostalCodeServiceEndpoint()
2025-10-06 10:01:17.694 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.MonAdaptateurImpl - PostalCodeServiceEndpoint:http://mon-service-prod.fr/xxxx
2025-10-06 10:01:17.694 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.e.ExternalServiceAdapter - ++getData()
2025-10-06 10:01:17.695 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.e.ExternalServiceAdapter - Calling external service for id titi
2025-10-06 10:01:17.695 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.e.ExternalServiceClient - ++getById()
2025-10-06 10:01:17.796 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.e.ExternalServiceClient - --getById()
2025-10-06 10:01:17.797 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.e.ExternalServiceAdapter - --getData()
2025-10-06 10:01:17.797 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.MonAdaptateurImpl - externalDtoTiti:value for titi
2025-10-06 10:01:17.797 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.e.ExternalServiceAdapter - ++getData()
2025-10-06 10:01:17.797 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.e.ExternalServiceAdapter - Calling external service for id toto
2025-10-06 10:01:17.798 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.e.ExternalServiceClient - ++getById()
2025-10-06 10:01:17.898 [http-nio-8080-exec-2] INFO  c.t.t.s.t.s.i.e.ExternalServiceClient - --getById()
